GEOID,trial_number,lon,lat,url,geometry
09001042700,1,-73.42188669905632,41.13423921044345,"https://www.google.com/maps/dir/41.1342392104434,-73.4218866990563/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.431627, -73.427082, -73.424774, -73.422233, -73.418978, -73.420576, -73.419916, -73.413226, -73.412434, -73.411302, -73.410144, -73.40691, -73.407433, -73.412271, -73.414993, -73.414674, -73.419053, -73.421753, -73.421337, -73.422974, -73.424636, -73.42609, -73.427524, -73.42882, -73.430936, -73.431894, -73.431627, 41.148381, 41.155508, 41.155398, 41.160029, 41.160802, 41.158373, 41.156205, 41.155594, 41.151306, 41.149021, 41.14509, 41.138896, 41.13601, 41.137241, 41.136167, 41.135695, 
41.134296, 41.131311, 41.130216, 41.129949, 41.135719, 41.135217, 41.134614, 41.132707, 41.141514, 41.144683, 41.148381)))"
09001042700,2,-73.41665804515544,41.14779876888459,"https://www.google.com/maps/dir/41.1477987688846,-73.4166580451554/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.431627, -73.427082, -73.424774, -73.422233, -73.418978, -73.420576, -73.419916, -73.413226, -73.412434, -73.411302, -73.410144, -73.40691, -73.407433, -73.412271, -73.414993, -73.414674, -73.419053, -73.421753, -73.421337, -73.422974, -73.424636, -73.42609, -73.427524, -73.42882, -73.430936, -73.431894, -73.431627, 41.148381, 41.155508, 41.155398, 41.160029, 41.160802, 41.158373, 41.156205, 41.155594, 41.151306, 41.149021, 41.14509, 41.138896, 41.13601, 41.137241, 41.136167, 41.135695, 
41.134296, 41.131311, 41.130216, 41.129949, 41.135719, 41.135217, 41.134614, 41.132707, 41.141514, 41.144683, 41.148381)))"
09001042700,3,-73.42244316840623,41.14821577380996,"https://www.google.com/maps/dir/41.14821577381,-73.4224431684062/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.431627, -73.427082, -73.424774, -73.422233, -73.418978, -73.420576, -73.419916, -73.413226, -73.412434, -73.411302, -73.410144, -73.40691, -73.407433, -73.412271, -73.414993, -73.414674, -73.419053, -73.421753, -73.421337, -73.422974, -73.424636, -73.42609, -73.427524, -73.42882, -73.430936, -73.431894, -73.431627, 41.148381, 41.155508, 41.155398, 41.160029, 41.160802, 41.158373, 41.156205, 41.155594, 41.151306, 41.149021, 41.14509, 41.138896, 41.13601, 41.137241, 41.136167, 41.135695, 
41.134296, 41.131311, 41.130216, 41.129949, 41.135719, 41.135217, 41.134614, 41.132707, 41.141514, 41.144683, 41.148381)))"
09001042700,4,-73.41934404906894,41.139374006504184,"https://www.google.com/maps/dir/41.1393740065042,-73.4193440490689/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.431627, -73.427082, -73.424774, -73.422233, -73.418978, -73.420576, -73.419916, -73.413226, -73.412434, -73.411302, -73.410144, -73.40691, -73.407433, -73.412271, -73.414993, -73.414674, -73.419053, -73.421753, -73.421337, -73.422974, -73.424636, -73.42609, -73.427524, -73.42882, -73.430936, -73.431894, -73.431627, 41.148381, 41.155508, 41.155398, 41.160029, 41.160802, 41.158373, 41.156205, 41.155594, 41.151306, 41.149021, 41.14509, 41.138896, 41.13601, 41.137241, 41.136167, 41.135695, 
41.134296, 41.131311, 41.130216, 41.129949, 41.135719, 41.135217, 41.134614, 41.132707, 41.141514, 41.144683, 41.148381)))"
09001042700,5,-73.41668148194884,41.13818928791709,"https://www.google.com/maps/dir/41.1381892879171,-73.4166814819488/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.431627, -73.427082, -73.424774, -73.422233, -73.418978, -73.420576, -73.419916, -73.413226, -73.412434, -73.411302, -73.410144, -73.40691, -73.407433, -73.412271, -73.414993, -73.414674, -73.419053, -73.421753, -73.421337, -73.422974, -73.424636, -73.42609, -73.427524, -73.42882, -73.430936, -73.431894, -73.431627, 41.148381, 41.155508, 41.155398, 41.160029, 41.160802, 41.158373, 41.156205, 41.155594, 41.151306, 41.149021, 41.14509, 41.138896, 41.13601, 41.137241, 41.136167, 41.135695, 
41.134296, 41.131311, 41.130216, 41.129949, 41.135719, 41.135217, 41.134614, 41.132707, 41.141514, 41.144683, 41.148381)))"
09001042800,1,-73.40921745064794,41.13229188462067,"https://www.google.com/maps/dir/41.1322918846207,-73.4092174506479/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.421753, -73.419053, -73.414674, -73.414993, -73.412271, -73.407433, -73.40691, -73.405723, -73.40473, -73.401209, -73.401012, -73.399814, -73.399627, -73.398683, -73.397921, -73.396522, -73.395318, -73.395435, -73.397533, -73.395971, -73.395671, -73.398541, -73.399257, -73.40234, -73.403149, -73.405447, -73.408686, -73.409674, -73.410373, -73.41128, -73.416547, -73.419831, -73.421337, -73.421753, 41.131311, 41.134296, 41.135695, 41.136167, 41.137241, 41.13601, 41.138896, 41.138693, 
41.13818, 41.135763, 41.134347, 41.135771, 41.135613, 41.133431, 41.132496, 41.1328, 41.129914, 41.12946, 41.128876, 41.125307, 41.124859, 41.124149, 41.12398, 41.123099, 41.122729, 41.121282, 41.121382, 41.123183, 41.125708, 41.12557, 41.128838, 41.130359, 41.130216, 41.131311)))"
09001042800,2,-73.40545916302304,41.130032259950454,"https://www.google.com/maps/dir/41.1300322599505,-73.405459163023/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.421753, -73.419053, -73.414674, -73.414993, -73.412271, -73.407433, -73.40691, -73.405723, -73.40473, -73.401209, -73.401012, -73.399814, -73.399627, -73.398683, -73.397921, -73.396522, -73.395318, -73.395435, -73.397533, -73.395971, -73.395671, -73.398541, -73.399257, -73.40234, -73.403149, -73.405447, -73.408686, -73.409674, -73.410373, -73.41128, -73.416547, -73.419831, -73.421337, -73.421753, 41.131311, 41.134296, 41.135695, 41.136167, 41.137241, 41.13601, 41.138896, 41.138693, 
41.13818, 41.135763, 41.134347, 41.135771, 41.135613, 41.133431, 41.132496, 41.1328, 41.129914, 41.12946, 41.128876, 41.125307, 41.124859, 41.124149, 41.12398, 41.123099, 41.122729, 41.121282, 41.121382, 41.123183, 41.125708, 41.12557, 41.128838, 41.130359, 41.130216, 41.131311)))"
09001042800,3,-73.40384866720835,41.12429558465059,"https://www.google.com/maps/dir/41.1242955846506,-73.4038486672084/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.421753, -73.419053, -73.414674, -73.414993, -73.412271, -73.407433, -73.40691, -73.405723, -73.40473, -73.401209, -73.401012, -73.399814, -73.399627, -73.398683, -73.397921, -73.396522, -73.395318, -73.395435, -73.397533, -73.395971, -73.395671, -73.398541, -73.399257, -73.40234, -73.403149, -73.405447, -73.408686, -73.409674, -73.410373, -73.41128, -73.416547, -73.419831, -73.421337, -73.421753, 41.131311, 41.134296, 41.135695, 41.136167, 41.137241, 41.13601, 41.138896, 41.138693, 
41.13818, 41.135763, 41.134347, 41.135771, 41.135613, 41.133431, 41.132496, 41.1328, 41.129914, 41.12946, 41.128876, 41.125307, 41.124859, 41.124149, 41.12398, 41.123099, 41.122729, 41.121282, 41.121382, 41.123183, 41.125708, 41.12557, 41.128838, 41.130359, 41.130216, 41.131311)))"
09001042800,4,-73.41760200182655,41.13296844612922,"https://www.google.com/maps/dir/41.1329684461292,-73.4176020018266/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.421753, -73.419053, -73.414674, -73.414993, -73.412271, -73.407433, -73.40691, -73.405723, -73.40473, -73.401209, -73.401012, -73.399814, -73.399627, -73.398683, -73.397921, -73.396522, -73.395318, -73.395435, -73.397533, -73.395971, -73.395671, -73.398541, -73.399257, -73.40234, -73.403149, -73.405447, -73.408686, -73.409674, -73.410373, -73.41128, -73.416547, -73.419831, -73.421337, -73.421753, 41.131311, 41.134296, 41.135695, 41.136167, 41.137241, 41.13601, 41.138896, 41.138693, 
41.13818, 41.135763, 41.134347, 41.135771, 41.135613, 41.133431, 41.132496, 41.1328, 41.129914, 41.12946, 41.128876, 41.125307, 41.124859, 41.124149, 41.12398, 41.123099, 41.122729, 41.121282, 41.121382, 41.123183, 41.125708, 41.12557, 41.128838, 41.130359, 41.130216, 41.131311)))"
09001042800,5,-73.41320830254399,41.13056639099049,"https://www.google.com/maps/dir/41.1305663909905,-73.413208302544/The+Maritime+Aquarium+at+Norwalk,+10+N+Water+St,+Norwalk,+CT+06854/@41.1288132,-73.4510147,13z/data=!3m1!4b1!4m13!4m12!1m0!1m5!1m1!1s0x89e81c3243db6e45:0xa45869e3de449a71!2m2!1d-73.4140074!2d41.1169647!2m3!6e0!7e2!8j1570273200!3e3","list(list(c(-73.421753, -73.419053, -73.414674, -73.414993, -73.412271, -73.407433, -73.40691, -73.405723, -73.40473, -73.401209, -73.401012, -73.399814, -73.399627, -73.398683, -73.397921, -73.396522, -73.395318, -73.395435, -73.397533, -73.395971, -73.395671, -73.398541, -73.399257, -73.40234, -73.403149, -73.405447, -73.408686, -73.409674, -73.410373, -73.41128, -73.416547, -73.419831, -73.421337, -73.421753, 41.131311, 41.134296, 41.135695, 41.136167, 41.137241, 41.13601, 41.138896, 41.138693, 
41.13818, 41.135763, 41.134347, 41.135771, 41.135613, 41.133431, 41.132496, 41.1328, 41.129914, 41.12946, 41.128876, 41.125307, 41.124859, 41.124149, 41.12398, 41.123099, 41.122729, 41.121282, 41.121382, 41.123183, 41.125708, 41.12557, 41.128838, 41.130359, 41.130216, 41.131311)))"
